id,category,mzungu_message
812,Shopping,How much ni kahawa? Naomba unipunguzie.
813,Actions/Verbs,"Ninataka ku-wash dawa, sijui vitenzi vizuri."
814,Wants/Needs,"Ninataka ku-buy sukari, bei gani?"
815,Actions/Verbs,"Ninataka ku-sell shati, sijui vitenzi vizuri."
816,Actions/Verbs,"Ninataka ku-buy chumvi, sijui vitenzi vizuri."
817,Learning/Classroom,How do you say 'clothes' kwa Kiswahili sahihi?
818,Small talk,"Ninapenda taulo sana, I really like it too much!"
819,Actions/Verbs,"Ninataka ku-sell chakula, sijui vitenzi vizuri."
820,Wants/Needs,Can I get begi? Sijui kama ni sahihi kusema hivi.
821,Learning/Classroom,How do you say 'rain' kwa Kiswahili sahihi?
822,Shopping,How much ni wali? Naomba unipunguzie.
823,Actions/Verbs,"Ninataka ku-drink wali, sijui vitenzi vizuri."
824,Wants/Needs,"Nataka sukari, tafadhali, do you have?"
825,Shopping,How much ni basi tiketi? Naomba unipunguzie.
826,Learning/Classroom,How do you say 'loneliness' kwa Kiswahili sahihi?
827,Actions/Verbs,"Ninataka ku-pay for mafuta ya kupikia, sijui vitenzi vizuri."
828,Actions/Verbs,"Ninataka ku-cook yai, sijui vitenzi vizuri."
829,Actions/Verbs,Nili-open jana lakini sijui kama nimesema vizuri.
830,Actions/Verbs,"Nita-cry kesho, is that sentensi sahihi?"
831,Actions/Verbs,"Ninataka ku-close shati, sijui vitenzi vizuri."
832,Learning/Classroom,How do you say 'toilet' kwa Kiswahili sahihi?
833,Actions/Verbs,Nili-work jana lakini sijui kama nimesema vizuri.
834,Actions/Verbs,"Ninataka ku-buy mafuta, sijui vitenzi vizuri."
835,Actions/Verbs,"Ninataka ku-buy kitabu, sijui vitenzi vizuri."
836,Wants/Needs,"I want salt kidogo, unaweza kunisaidia?"
837,Actions/Verbs,"Ninataka ku-drink chai, sijui vitenzi vizuri."
838,Actions/Verbs,"Ninataka ku-eat wali, sijui vitenzi vizuri."
839,Learning/Classroom,How do you say 'hat' kwa Kiswahili sahihi?
840,Learning/Classroom,How do you say 'shop' kwa Kiswahili sahihi?
841,Learning/Classroom,How do you say 'soup' kwa Kiswahili sahihi?
842,Actions/Verbs,"Ninataka ku-sell dawa, sijui vitenzi vizuri."
843,Actions/Verbs,"Ninataka ku-wash meza, sijui vitenzi vizuri."
844,Actions/Verbs,"Ninataka ku-drink maji, sijui vitenzi vizuri."
845,Actions/Verbs,"Ninataka ku-buy samaki, sijui vitenzi vizuri."
846,Shopping,Bei gani ya saa? It's too expensive kwa mimi.
847,Wants/Needs,"Ninataka ku-buy nanasi, bei gani?"
848,Learning/Classroom,How do you say 'cow' kwa Kiswahili sahihi?
849,Wants/Needs,Can I get embe? Sijui kama ni sahihi kusema hivi.
850,Learning/Classroom,How do you say 'book' kwa Kiswahili sahihi?
851,Actions/Verbs,Nili-see jana lakini sijui kama nimesema vizuri.
852,Actions/Verbs,"Ninataka ku-close meza, sijui vitenzi vizuri."
853,Wants/Needs,Can I get mboga? Sijui kama ni sahihi kusema hivi.
854,Wants/Needs,"Naomba shoes, is that ok kusema hivyo?"
855,Wants/Needs,Can I get nyama? Sijui kama ni sahihi kusema hivi.
856,Wants/Needs,"Ninataka ku-buy chumvi, bei gani?"
857,Actions/Verbs,"Ninataka ku-open samaki, sijui vitenzi vizuri."
858,Actions/Verbs,"Ninataka ku-open kofia, sijui vitenzi vizuri."
859,Actions/Verbs,"Ninataka ku-wash kiti, sijui vitenzi vizuri."
860,Learning/Classroom,How do you say 'bird' kwa Kiswahili sahihi?
861,Learning/Classroom,How do you say 'door' kwa Kiswahili sahihi?
862,Actions/Verbs,"Ninataka ku-drink ndizi, sijui vitenzi vizuri."
863,Actions/Verbs,"Ninataka ku-pay for kahawa, sijui vitenzi vizuri."
864,Learning/Classroom,How do you say 'airport' kwa Kiswahili sahihi?
865,Actions/Verbs,"Ninataka ku-sell kitabu, sijui vitenzi vizuri."
866,Actions/Verbs,"Ninataka ku-buy dawa, sijui vitenzi vizuri."
867,Wants/Needs,"Nataka kiti, tafadhali, do you have?"
868,Learning/Classroom,How do you say 'tomato' kwa Kiswahili sahihi?
869,Actions/Verbs,"Ninataka ku-wash samaki, sijui vitenzi vizuri."
870,Learning/Classroom,How do you say 'bus' kwa Kiswahili sahihi?
871,Learning/Classroom,How do you say 'money' kwa Kiswahili sahihi?
872,Shopping,"Ninataka kununua mango, do you accept mobile money?"
873,Actions/Verbs,"Ninataka ku-close viatu, sijui vitenzi vizuri."
874,Small talk,"Ninapenda samaki sana, I really like it too much!"
875,Learning/Classroom,How do you say 'forest' kwa Kiswahili sahihi?
876,Actions/Verbs,"Ninataka ku-buy sabuni, sijui vitenzi vizuri."
877,Learning/Classroom,How do you say 'skin' kwa Kiswahili sahihi?
878,Shopping,"Ninataka kununua sugar, do you accept mobile money?"
879,Actions/Verbs,"Ninataka ku-drink nyama, sijui vitenzi vizuri."
880,Wants/Needs,"Naomba mango, is that ok kusema hivyo?"
881,Actions/Verbs,"Ninataka ku-sell mboga, sijui vitenzi vizuri."
882,Learning/Classroom,How do you say 'bag' kwa Kiswahili sahihi?
883,Learning/Classroom,How do you say 'office' kwa Kiswahili sahihi?
884,Actions/Verbs,"Ninataka ku-sell begi, sijui vitenzi vizuri."
885,Learning/Classroom,How do you say 'blanket' kwa Kiswahili sahihi?
886,Wants/Needs,"Ninataka ku-buy simu, bei gani?"
887,Wants/Needs,"Ninataka ku-buy begi, bei gani?"
888,Actions/Verbs,"Ninataka ku-sell sabuni, sijui vitenzi vizuri."
889,Actions/Verbs,"Ninataka ku-wash wali, sijui vitenzi vizuri."
890,Learning/Classroom,How do you say 'shirt' kwa Kiswahili sahihi?
891,Actions/Verbs,"Ninataka ku-eat kiazi, sijui vitenzi vizuri."
892,Actions/Verbs,"Ninataka ku-wash chakula, sijui vitenzi vizuri."
893,Actions/Verbs,"Ninataka ku-sell mbuzi, sijui vitenzi vizuri."
894,Actions/Verbs,"Ninataka ku-close embe, sijui vitenzi vizuri."
895,Actions/Verbs,"Ninataka ku-close sukari, sijui vitenzi vizuri."
896,Actions/Verbs,"Ninataka ku-wash maji, sijui vitenzi vizuri."
897,Actions/Verbs,"Ninataka ku-close taulo, sijui vitenzi vizuri."
898,Learning/Classroom,How do you say 'anger' kwa Kiswahili sahihi?
899,Shopping,"Ninataka kununua tomato, do you accept mobile money?"
900,Learning/Classroom,How do you say 'doctor' kwa Kiswahili sahihi?
901,Actions/Verbs,"Ninataka ku-close mafuta, sijui vitenzi vizuri."
902,Actions/Verbs,"Ninataka ku-open basi tiketi, sijui vitenzi vizuri."
903,Actions/Verbs,"Ninataka ku-drink samaki, sijui vitenzi vizuri."
904,Actions/Verbs,"Ninataka ku-wash saa, sijui vitenzi vizuri."
905,Actions/Verbs,"Ninataka ku-wash nanasi, sijui vitenzi vizuri."
906,Actions/Verbs,"Ninataka ku-buy wali, sijui vitenzi vizuri."
907,Actions/Verbs,"Ninataka ku-wash basi tiketi, sijui vitenzi vizuri."
908,Actions/Verbs,"Ninataka ku-sell suruali, sijui vitenzi vizuri."
909,Actions/Verbs,"Ninataka ku-drink yai, sijui vitenzi vizuri."
910,Actions/Verbs,"Ninataka ku-open simu, sijui vitenzi vizuri."
911,Actions/Verbs,"Ninataka ku-close mboga, sijui vitenzi vizuri."
912,Actions/Verbs,"Ninataka ku-close chumvi, sijui vitenzi vizuri."
913,Actions/Verbs,"Ninataka ku-pay for kiazi, sijui vitenzi vizuri."
914,Learning/Classroom,How do you say 'sugar' kwa Kiswahili sahihi?
915,Learning/Classroom,How do you say 'minute' kwa Kiswahili sahihi?
916,Actions/Verbs,"Ninataka ku-eat ugali, sijui vitenzi vizuri."
917,Actions/Verbs,"Ninataka ku-open nguo, sijui vitenzi vizuri."
918,Actions/Verbs,"Ninataka ku-buy nguo, sijui vitenzi vizuri."
919,Small talk,"Ninapenda chakula sana, I really like it too much!"
920,Actions/Verbs,"Ninataka ku-sell samaki, sijui vitenzi vizuri."
921,Actions/Verbs,"Ninataka ku-wash mkate, sijui vitenzi vizuri."
922,Shopping,"Ninataka kununua towel, do you accept mobile money?"
923,Learning/Classroom,How do you say 'week' kwa Kiswahili sahihi?
924,Actions/Verbs,"Ninataka ku-close ndizi, sijui vitenzi vizuri."
925,Actions/Verbs,"Ninataka ku-open kitabu, sijui vitenzi vizuri."
926,Wants/Needs,"Nataka ndizi, tafadhali, do you have?"
927,Actions/Verbs,"Ninataka ku-open nyama, sijui vitenzi vizuri."
928,Actions/Verbs,"Ninataka ku-close kiazi, sijui vitenzi vizuri."
929,Learning/Classroom,How do you say 'banana' kwa Kiswahili sahihi?
930,Actions/Verbs,"Ninataka ku-wash taulo, sijui vitenzi vizuri."
931,Actions/Verbs,"Ninataka ku-pay for mkate, sijui vitenzi vizuri."
932,Actions/Verbs,"Ninataka ku-wash blanketi, sijui vitenzi vizuri."
933,Learning/Classroom,How do you say 'happiness' kwa Kiswahili sahihi?
934,Learning/Classroom,How do you say 'rice' kwa Kiswahili sahihi?
935,Actions/Verbs,"Ninataka ku-eat yai, sijui vitenzi vizuri."
936,Actions/Verbs,"Ninataka ku-open kahawa, sijui vitenzi vizuri."
937,Actions/Verbs,"Ninataka ku-open mboga, sijui vitenzi vizuri."
938,Actions/Verbs,"Ninataka ku-cook wali, sijui vitenzi vizuri."
939,Actions/Verbs,"Ninataka ku-drink embe, sijui vitenzi vizuri."
940,Learning/Classroom,How do you say 'sun' kwa Kiswahili sahihi?
941,Actions/Verbs,"Ninataka ku-pay for kiti, sijui vitenzi vizuri."
942,Actions/Verbs,"Ninataka ku-sell supu, sijui vitenzi vizuri."
943,Actions/Verbs,"Ninataka ku-close basi tiketi, sijui vitenzi vizuri."
944,Actions/Verbs,"Ninataka ku-close begi, sijui vitenzi vizuri."
945,Learning/Classroom,How do you say 'eye' kwa Kiswahili sahihi?
946,Actions/Verbs,"Ninataka ku-pay for meza, sijui vitenzi vizuri."
947,Learning/Classroom,How do you say 'tea' kwa Kiswahili sahihi?
948,Actions/Verbs,"Ninataka ku-close wali, sijui vitenzi vizuri."
949,Actions/Verbs,"Ninataka ku-eat kuku, sijui vitenzi vizuri."
950,Actions/Verbs,"Ninataka ku-drink mkate, sijui vitenzi vizuri."
951,Learning/Classroom,How do you say 'lion' kwa Kiswahili sahihi?
952,Actions/Verbs,"Ninataka ku-open yai, sijui vitenzi vizuri."
953,Actions/Verbs,"Ninataka ku-pay for embe, sijui vitenzi vizuri."
954,Learning/Classroom,How do you say 'stomach' kwa Kiswahili sahihi?
955,Learning/Classroom,How do you say 'river' kwa Kiswahili sahihi?
956,Actions/Verbs,"Ninataka ku-cook ugali, sijui vitenzi vizuri."
957,Actions/Verbs,"Ninataka ku-eat embe, sijui vitenzi vizuri."
958,Actions/Verbs,"Ninataka ku-drink nanasi, sijui vitenzi vizuri."
959,Actions/Verbs,"Ninataka ku-pay for yai, sijui vitenzi vizuri."
960,Actions/Verbs,"Ninataka ku-pay for mboga, sijui vitenzi vizuri."
961,Actions/Verbs,"Ninataka ku-pay for mbuzi, sijui vitenzi vizuri."
962,Actions/Verbs,"Ninataka ku-sell sukari, sijui vitenzi vizuri."
963,Actions/Verbs,"Ninataka ku-wash chai, sijui vitenzi vizuri."
964,Actions/Verbs,"Ninataka ku-open begi, sijui vitenzi vizuri."
965,Actions/Verbs,"Ninataka ku-wash nguo, sijui vitenzi vizuri."
966,Actions/Verbs,"Ninataka ku-wash kuku, sijui vitenzi vizuri."
967,Actions/Verbs,"Ninataka ku-pay for dawa, sijui vitenzi vizuri."
968,Actions/Verbs,"Ninataka ku-wash chumvi, sijui vitenzi vizuri."
969,Actions/Verbs,"Ninataka ku-wash mbuzi, sijui vitenzi vizuri."
970,Actions/Verbs,"Ninataka ku-buy suruali, sijui vitenzi vizuri."
971,Actions/Verbs,"Ninataka ku-open dawa, sijui vitenzi vizuri."
972,Actions/Verbs,"Ninataka ku-wash gari, sijui vitenzi vizuri."
973,Actions/Verbs,"Ninataka ku-buy embe, sijui vitenzi vizuri."
974,Actions/Verbs,"Ninataka ku-sell wali, sijui vitenzi vizuri."
975,Actions/Verbs,"Ninataka ku-buy supu, sijui vitenzi vizuri."
976,Actions/Verbs,"Ninataka ku-sell kahawa, sijui vitenzi vizuri."
977,Actions/Verbs,"Ninataka ku-cook nyanya, sijui vitenzi vizuri."
978,Actions/Verbs,"Ninataka ku-drink kahawa, sijui vitenzi vizuri."
979,Actions/Verbs,"Ninataka ku-pay for kofia, sijui vitenzi vizuri."
980,Actions/Verbs,"Ninataka ku-cook nanasi, sijui vitenzi vizuri."
981,Actions/Verbs,"Ninataka ku-sell mafuta, sijui vitenzi vizuri."
982,Actions/Verbs,"Ninataka ku-sell viatu, sijui vitenzi vizuri."
983,Actions/Verbs,"Ninataka ku-buy ndizi, sijui vitenzi vizuri."
984,Actions/Verbs,"Ninataka ku-wash suruali, sijui vitenzi vizuri."
985,Actions/Verbs,"Ninataka ku-buy viatu, sijui vitenzi vizuri."
986,Actions/Verbs,"Ninataka ku-wash kofia, sijui vitenzi vizuri."
987,Actions/Verbs,"Ninataka ku-buy kahawa, sijui vitenzi vizuri."
988,Actions/Verbs,"Ninataka ku-pay for blanketi, sijui vitenzi vizuri."
989,Actions/Verbs,"Ninataka ku-pay for sukari, sijui vitenzi vizuri."
990,Actions/Verbs,"Ninataka ku-eat samaki, sijui vitenzi vizuri."
991,Actions/Verbs,"Ninataka ku-buy sukari, sijui vitenzi vizuri."
992,Actions/Verbs,"Ninataka ku-pay for gari, sijui vitenzi vizuri."
993,Actions/Verbs,"Ninataka ku-wash sabuni, sijui vitenzi vizuri."
994,Actions/Verbs,"Ninataka ku-close nyanya, sijui vitenzi vizuri."
995,Learning/Classroom,How do you say 'leg' kwa Kiswahili sahihi?
996,Actions/Verbs,"Ninataka ku-pay for maji, sijui vitenzi vizuri."
997,Actions/Verbs,"Ninataka ku-buy mbuzi, sijui vitenzi vizuri."
998,Actions/Verbs,"Ninataka ku-close gari, sijui vitenzi vizuri."
999,Actions/Verbs,"Ninataka ku-open supu, sijui vitenzi vizuri."
1000,Learning/Classroom,How do you say 'cook' kwa Kiswahili sahihi?
